Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator D11                      0mil          0mil    1007.75mil   1002.688mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil    1007.75mil   1002.562mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.812mil   1002.562mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.812mil   1002.438mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.875mil   1002.438mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.875mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.812mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.812mil   1001.562mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil    1007.75mil   1001.562mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil    1007.75mil     1001.5mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.688mil     1001.5mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.688mil   1001.375mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.562mil   1001.375mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.562mil   1001.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.438mil   1001.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.438mil    1001.25mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.312mil    1001.25mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1007.312mil   1001.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil       1007mil   1001.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil       1007mil   1001.125mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.562mil   1001.125mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.562mil   1001.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.312mil   1001.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.312mil    1001.25mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.125mil    1001.25mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.125mil   1001.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.062mil   1001.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.062mil   1001.375mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil       1006mil   1001.375mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil       1006mil   1001.438mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.938mil   1001.438mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.938mil   1001.562mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.875mil   1001.562mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.875mil   1001.688mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.812mil   1001.688mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.812mil   1002.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1006.438mil   1002.188mil          0mil          0mil  T          0.00 Comment        
